epoch,train_loss,microF1,macroF1,mAP,threshold
1,1.2031587362289429,0.4,0.1142857142857143,0.46428571428571425,0.5145247906446457
2,1.1961696147918701,0.3333333333333333,0.08163265306122448,0.3785714285714286,0.5099734663963318
3,1.1871992349624634,0.30434782608695654,0.30612244897959184,0.29523809523809524,0.4493103448275862
4,1.147201657295227,0.2916666666666667,0.28231292517006795,0.3785714285714286,0.43241379310344824
5,1.120191216468811,0.32,0.21428571428571425,0.36666666666666664,0.48310344827586205
6,1.0650604963302612,0.3076923076923077,0.2891156462585034,0.4333333333333333,0.41551724137931034
